N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"72,100",200,+0.28%,100,"4,304,213","5,969,783",52.15,"17,640,567",12.48,13.92,
2,LG에너지솔루션,"412,000","8,000",-1.90%,500,"964,080","234,000",3.66,"962,756",279.32,N/A,
3,SK하이닉스,"123,500",500,+0.41%,"5,000","899,083","728,002",50.72,"3,208,365",11.17,9.53,
4,삼성전자우,"66,100",0,0.00%,100,"543,928","822,887",74.76,"1,396,315",11.44,N/A,
5,NAVER,"318,000","3,500",+1.11%,100,"521,676","164,049",55.04,"541,043",3.15,15.22,
6,삼성바이오로직스,"779,000","19,000",+2.50%,"2,500","515,425","66,165",10.49,"62,906",125.56,N/A,
7,카카오,"94,100",300,-0.32%,100,"419,650","445,962",28.37,"2,163,897",37.05,2.70,
8,LG화학,"565,000","11,000",+1.99%,"5,000","398,847","70,592",49.00,"339,656",14.72,2.93,
9,삼성SDI,"548,000","9,000",+1.67%,"5,000","376,830","68,765",44.23,"246,432",32.97,8.45,
10,현대차,"175,000","1,000",+0.57%,"5,000","373,919","213,668",27.11,"1,229,848",8.87,2.04,
11,기아,"73,800",0,0.00%,"5,000","299,158","405,363",35.15,"2,072,334",6.69,5.05,
12,POSCO,"285,000","9,500",+3.45%,"5,000","248,482","87,187",52.79,"367,103",4.27,3.61,
13,KB금융,"59,700",800,+1.36%,"5,000","248,237","415,808",72.10,"2,092,655",5.71,8.53,
14,카카오뱅크,"48,000",250,+0.52%,"5,000","228,076","475,159",16.23,"1,103,216",155.34,5.08,
15,셀트리온,"159,500","4,000",+2.57%,"1,000","220,039","137,956",20.48,"379,439",40.59,16.68,
16,현대모비스,"224,000","1,000",-0.44%,"5,000","211,844","94,573",34.39,"314,077",9.02,4.66,
17,삼성물산,"110,000","1,500",+1.38%,100,"205,576","186,887",15.90,"287,297",12.52,3.81,
18,LG전자,"123,500",500,-0.40%,"5,000","202,105","163,648",28.41,"839,284",17.82,13.23,
19,신한지주,"39,050",100,+0.26%,"5,000","201,732","516,600",62.22,"1,987,816",5.18,8.20,
20,카카오페이,"149,500","5,500",+3.82%,500,"197,264","131,949",42.68,"379,966",-743.78,-17.97,
21,SK이노베이션,"200,500",500,-0.25%,"5,000","185,393","92,466",23.45,"434,873","-5,897.06",-13.58,
22,SK,"227,500","5,500",+2.48%,200,"168,690","74,149",21.92,"195,545",26.59,1.11,
23,한국전력,"23,200","1,400",+6.42%,"5,000","148,936","641,964",14.48,"7,708,968",-13.67,2.91,
24,LG생활건강,"950,000","8,000",+0.85%,"5,000","148,373","15,618",41.90,"56,595",19.93,16.65,
25,하나금융지주,"48,700",100,-0.20%,"5,000","146,218","300,242",71.37,"1,761,580",4.55,8.96,
26,크래프톤,"295,000","11,000",+3.87%,100,"144,763","49,072",29.69,"193,520",23.12,61.86,
27,HMM,"28,850","1,050",-3.51%,"5,000","141,088","489,039",10.91,"7,986,680",3.63,8.93,
28,삼성전기,"166,000","1,500",+0.91%,"5,000","123,992","74,694",29.61,"416,561",14.43,14.29,
29,삼성생명,"59,800",300,-0.50%,500,"119,600","200,000",12.67,"301,012",7.65,3.53,
30,SK텔레콤,"54,600",700,+1.30%,100,"119,483","218,833",44.95,"619,835",8.47,6.44,
31,하이브,"288,500","2,000",+0.70%,500,"119,305","41,353",15.02,"228,745",102.63,12.52,
32,LG,"75,200","1,100",+1.48%,"5,000","118,290","157,301",36.33,"263,190",4.96,7.50,
33,SK바이오사이언스,"146,000","5,500",+3.91%,500,"111,690","76,500",5.43,"399,484",56.22,13.25,
34,KT&G,"79,800",100,-0.13%,"5,000","109,559","137,292",36.40,"332,032",9.20,13.22,
35,두산중공업,"20,800","1,900",+10.05%,"5,000","108,624","522,230",8.04,"28,429,898",62.65,-37.20,
36,삼성에스디에스,"140,000","1,000",+0.72%,500,"108,329","77,378",11.44,"86,872",15.94,6.71,
